RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           20     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   26   29     1     0  con    0  1.0D+00  6.2D-02  2.876D+00  1.856D+01
   27   30     1     0  con    0  1.0D+00  6.3D-02  2.826D+00  1.840D+01
   28   31     1     0  con    0  1.0D+00  2.5D-01  2.708D+00  1.804D+01
   29   32     1     0  con    0  1.0D+00  1.7D-01  2.648D+00  1.774D+01
   30   33     1     0  con    0  1.0D+00  1.4D-01  2.594D+00  1.749D+01
   31   34     1     0  con    0  1.0D+00  1.3D-01  2.531D+00  1.733D+01
   32   35     1     0  con    0  1.0D+00  3.4D-02  2.490D+00  1.712D+01
   33   36     1     0  con    0  1.0D+00  1.1D-01  2.336D+00  1.669D+01
   34   37     1     0  con    0  1.0D+00  1.5D-01  2.265D+00  1.629D+01
   35   38     1     0  con    0  1.0D+00  2.6D-01  2.274D+00  1.622D+01
   36   39     1     0  con    0  1.0D+00  3.2D-02  2.262D+00  1.577D+01
   37   40     1     0  con    0  1.0D+00  2.9D-02  2.271D+00  1.563D+01
   38   41     1     0  con    0  1.0D+00  8.6D-02  2.280D+00  1.544D+01
   39   42     1     0  con    0  1.0D+00  1.4D-01  2.285D+00  1.517D+01
   40   43     1     0  con    0  1.0D+00  4.0D-01  2.284D+00  1.487D+01
   41   44     1     0  con    0  1.0D+00  1.7D-01  2.277D+00  1.441D+01
   42   45     1     0  con    0  1.0D+00  5.5D-02  2.256D+00  1.423D+01
   43   46     1     0  con    0  1.0D+00  1.1D-01  2.240D+00  1.412D+01
   44   47     1     0  con    0  1.0D+00  9.5D-02  2.234D+00  1.406D+01
   45   48     1     0  con    0  1.0D+00  8.4D-03  2.229D+00  1.398D+01
   46   49     1     0  con    0  1.0D+00  8.5D-02  2.217D+00  1.385D+01
   47   50     1     0  con    0  1.0D+00  6.3D-02  2.225D+00  1.382D+01
   48   51     1     0  con    0  1.0D+00  4.3D-02  1.761D+00  1.381D+01
   49   52     1     0  con    0  1.0D+00  4.3D-03  1.496D+00  1.380D+01
   50   53     1     0  con    0  1.0D+00  2.1D-02  2.226D+00  1.376D+01
   51   54     1     0  con    0  1.0D+00  4.3D-02  2.044D+00  1.373D+01
   52   55     1     0  con    0  1.0D+00  5.1D-02  2.042D+00  1.371D+01
   53   56     1     0  con    0  1.0D+00  5.9D-02  2.179D+00  1.367D+01
   54   57     1     0  con    0  1.0D+00  7.4D-02  2.168D+00  1.362D+01
   55   59     1     0  con    1  2.4D-01  2.1D-02  2.176D+00  1.361D+01
   56   60     1     0  con    0  1.0D+00  4.3D-02  2.168D+00  1.356D+01
   57   61     1     0  con    0  1.0D+00  4.7D-02  1.732D+00  1.352D+01
   58   62     1     0  con    0  1.0D+00  8.6D-02  2.174D+00  1.348D+01
   59   63     1     0  con    0  1.0D+00  4.0D-02  1.962D+00  1.345D+01
   60   64     1     0  con    0  1.0D+00  5.6D-02  2.187D+00  1.342D+01
   61   65     1     0  con    0  1.0D+00  7.4D-02  2.183D+00  1.339D+01
   62   66     1     0  con    0  1.0D+00  2.8D-02  1.698D+00  1.337D+01
   63   67     1     0  con    0  1.0D+00  1.9D-02  1.390D+00  1.335D+01
   64   68     1     0  con    0  1.0D+00  2.7D-02  1.988D+00  1.334D+01
   65   69     1     0  con    0  1.0D+00  3.6D-02  2.149D+00  1.332D+01
   66   70     1     0  con    0  1.0D+00  3.1D-02  2.140D+00  1.331D+01
   67   71     1     0  con    0  1.0D+00  9.3D-03  1.103D+00  1.330D+01
   68   72     1     0  con    0  1.0D+00  1.5D-02  6.374D-01  1.330D+01

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 1.530E+02 seconds.

