RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          197     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   71   76     1     0  con    0  1.0D+00  2.6D-02  1.841D+00  4.083D+01
   72   78     1     0  con    1  4.2D-01  1.6D-02  2.187D+00  4.081D+01
   73   79     1     0  con    0  1.0D+00  1.9D-02  1.390D+00  4.079D+01
   74   80     1     0  con    0  1.0D+00  1.3D-02  1.278D+00  4.078D+01
   75   81     1     0  con    0  1.0D+00  1.5D-02  1.446D+00  4.076D+01
   76   82     1     0  con    0  1.0D+00  2.0D-02  1.640D+00  4.075D+01
   77   83     1     0  con    0  1.0D+00  2.7D-02  2.795D+00  4.073D+01
   78   84     1     0  con    0  1.0D+00  3.0D-03  1.209D+00  4.072D+01
   79   85     1     0  con    0  1.0D+00  4.9D-03  1.489D+00  4.071D+01
   80   86     1     0  con    0  1.0D+00  9.8D-03  1.493D+00  4.070D+01
   81   87     1     0  con    0  1.0D+00  3.3D-02  2.684D+00  4.068D+01
   82   88     1     0  con    0  1.0D+00  4.0D-02  1.636D+00  4.065D+01
   83   89     1     0  con    0  1.0D+00  3.3D-02  1.270D+00  4.062D+01
   84   90     1     0  con    0  1.0D+00  4.6D-02  1.845D+00  4.060D+01
   85   91     1     0  con    0  1.0D+00  1.8D-02  8.326D-01  4.058D+01

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 1.030E-01 seconds.

